empid,fname,lname,gender,email,doj,age,salary,deptid
677509,Lois,Walker,F,lois.walker@hotmail.,3/29/1981,36,168251,1
940761,Brenda,Robinson,F,brenda.robinson@gmai,7/31/1970,47,51063,1
428945,Joe,Robinson,M,joe.robinson@gmail.c,6/16/1963,54,50155,2
408351,Diane,Evans,F,diane.evans@yahoo.co,12/04/77,40,180294,2
193819,Benjamin,Russell,M,benjamin.russell@cha,4/17/1977,40,117642,2
499687,Patrick,Bailey,M,patrick.bailey@aol.c,9/27/1982,35,72305,2
539712,Nancy,Baker,F,nancy.baker@bp.com,6/13/1995,22,98189,4
380086,Carol,Murphy,F,carol.murphy@gmail.c,6/30/1958,59,60918,3
477616,Frances,Young,F,frances.young@gmail.,06/09/59,58,121587,2
162402,Diana,Peterson,F,diana.peterson@hotma,11/13/1987,30,43010,1
231469,Ralph,Flores,M,ralph.flores@yahoo.c,02/05/75,43,118457,1
153989,Jack,Alexander,M,jack.alexander@gmail,5/19/1995,22,82965,1
386158,Melissa,King,F,melissa.king@comcast,2/24/1972,45,166892,1
301576,Wayne,Watson,M,wayne.watson@gmail.c,6/26/1996,21,92758,1
441771,Cheryl,Scott,F,cheryl.scott@gmail.c,2/23/1958,59,92220,1
528509,Paula,Diaz,F,paula.diaz@gmail.com,8/22/1966,51,152654,1
912990,Joshua,Stewart,M,joshua.stewart@yahoo,5/18/1970,47,184896,1
214352,Theresa,Lee,F,theresa.lee@gmail.co,12/05/92,25,197537,1
890290,Julia,Scott,F,julia.scott@apple.co,7/15/1959,58,141518,1
622406,Thomas,Lewis,M,thomas.lewis@gmail.c,10/04/67,50,73862,1
979607,Carol,Edwards,F,carol.edwards@msn.co,12/14/1994,23,93967,1
969580,Matthew,Turner,M,matthew.turner@gmail,10/26/1993,24,52237,1
426038,Joan,Stewart,F,joan.stewart@yahoo.c,11/20/1972,45,111673,1
388642,Ruby,Rogers,F,ruby.rogers@gmail.co,05/01/80,37,160623,1
560455,Carolyn,Hayes,F,carolyn.hayes@hotmai,03/10/58,59,42005,2
477253,Anne,Russell,F,anne.russell@ibm.com,7/29/1989,28,103160,2
263480,Daniel,Cooper,M,daniel.cooper@yahoo.,01/01/90,28,153790,2
683826,Roger,Roberts,M,roger.roberts@gmail.,07/07/69,48,129625,2
474599,Maria,Walker,F,maria.walker@microso,3/19/1975,42,48944,2
335732,Brenda,Butler,F,brenda.butler@gmail.,12/06/63,54,60508,2
329752,Lillian,Brown,F,lillian.brown@aol.co,05/12/81,36,67251,2
893212,Amy,Howard,F,amy.howard@aol.com,6/16/1981,36,112715,2
621833,Gregory,Edwards,M,gregory.edwards@outl,8/31/1993,24,169245,2
456747,Roy,Griffin,M,roy.griffin@yahoo.co,05/08/91,26,170895,2
278556,Richard,Mitchell,M,richard.mitchell@ver,7/28/1993,24,122226,2
333476,Mary,Wilson,F,mary.wilson@sbcgloba,12/01/67,50,109394,2
